100448;ALMONDEGAS;KG;
300339;BIFE A ROLE;KG;
100576;CARNE ACEM;KG;
100420;CARNE ALCATRA;KG;
188764;CARNE BARRIGA SUINA;KG;
188605;CARNE BISTECA BOVINA;KG;
100393;CARNE BISTECA SUINA;KG;
401408;CARNE BSITECA OVINA;KG;
100577;CARNE CARRE DE CORDEIRO;KG;
100897;CARNE CARRE SUINO KG;KG;
100608;CARNE CHULETA BOVINA;KG;
100790;CARNE CHULETA DE PORCO;KG;
100059;CARNE CONTRA FILÉ S/ OSSO;KG;
100540;CARNE COSTELA;KG;
100990;CARNE COSTELA CORDEIRO;KG;
188499;CARNE COSTELA REFEITORIO;KG;
100547;CARNE COSTELA SUINA;KG;
500248;CARNE COSTELA SUINA DEFUMADA;KG;
100085;CARNE COXAO MOLE S/ OSSO;KG;
300313;CARNE CUPIM;KG;
277746;CARNE DIANTEIRO BOVINO;KG;
122054;CARNE ENTRECOT;KG;
100391;CARNE FIGADO;KG;
394417;CARNE FILE DE COSTELA;KG;
100256;CARNE FILE MIGNON;KG;
100387;CARNE FILE MIGNON SUINO;KG;
394473;CARNE FILE SUINO;KG;
100700;CARNE FRALDA;KG;
100578;CARNE LAGARTO;KG;
100609;CARNE LAGARTO;KG;
300030;CARNE LINGUA;KG;
100389;CARNE LOMBO SUINO;KG;
100136;CARNE MAMINHA;KG;
122063;CARNE MATAMBRE;KG;
100257;CARNE MOIDA;KG;
188404;CARNE MOIDA DE SEGUNDA;KG;
400192;CARNE MOIDA ST;KG;
100199;CARNE MUSCULO;KG;
100548;CARNE PALETA;KG;
100583;CARNE PALETA DE CORDEIRO;KG;
100922;CARNE PALETA SUINA;KG;
100549;CARNE PATINHO;KG;
100405;CARNE PERNIL SUINO;KG;
100468;CARNE PICANHA;KG;
500628;CARNE PICANHA DE CORDEIRO;KG;
101184;CARNE PICANHA SUINA;KG;
188192;CARNE RABO BOVINO;KG;
300306;CARNE SECA;KG;
100735;CARNE SOBREPALETA SUINA;KG;
300304;CARNE VAZIO;KG;
100025;CARPACCIO;KG;
100571;CHARQUE;KG;
188366;HAMBURGER EL DIVINO;UN;
188793;HAMBURGUER ANGUS;KG;
400108;HAMBURGUER BOVINO;KG;
100031;HAMBURGUER BOVINO UN;UN;
100987;KIT FEIJOADA KG;KG;
100915;LEITAO INTEIRO;KG;
100174;LINGUICA CALABRESA;KG;
100280;LINGUIÇA COMUM;KG;
188884;LINGUIÇA DE CORDEIRO;KG;
